ticker,index_name,region,country,index_type,year,year_start,year_end,trading_days,annual_return_pct,is_partial_year
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2002,2002-01-02,2002-12-31,253,-12.680758028343654,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2003,2003-01-02,2003-12-31,253,8.99061772995029,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2004,2004-01-02,2004-12-31,259,22.719427926738135,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2005,2005-01-04,2005-12-30,252,17.3655888170531,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2006,2006-01-03,2006-12-29,251,18.716497117750208,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2007,2007-01-02,2007-12-31,253,11.809099966674053,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2008,2008-01-02,2008-12-31,254,-41.410628747784436,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2009,2009-01-02,2009-12-31,254,31.14868957991286,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2010,2010-01-04,2010-12-31,252,-2.6885059292083735,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2011,2011-01-04,2011-12-30,247,-14.462833997759617,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2012,2012-01-03,2012-12-31,251,13.357060826087253,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2013,2013-01-02,2013-12-31,253,13.73383000872721,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2014,2014-01-02,2014-12-31,252,0.8029229017000095,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2015,2015-01-02,2015-12-31,254,-2.575470529537116,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2016,2016-01-04,2016-12-30,253,7.50023346338109,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2017,2017-01-03,2017-12-29,251,5.78908621776566,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2018,2018-01-02,2018-12-31,253,-6.845064849339533,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2019,2019-01-02,2019-12-31,252,20.26521883747625,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2020,2020-01-02,2020-12-31,255,-1.5469464396214105,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2021,2021-01-04,2021-12-31,254,11.376079113803383,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2022,2022-01-04,2022-12-30,251,-7.261055937663041,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2023,2023-01-03,2023-12-29,252,9.279888158276739,False
^AXJO,S&P/ASX 200,Asia-Pacific,Australia,Equity,2024,2024-01-02,2024-06-24,120,1.3883477980101366,True
^BFX,BEL 20,Europe,Belgium,Equity,1991,1991-04-09,1991-12-30,179,-9.070483850291023,True
^BFX,BEL 20,Europe,Belgium,Equity,1992,1992-01-02,1992-12-30,246,1.67794096399978,False
^BFX,BEL 20,Europe,Belgium,Equity,1993,1993-01-04,1993-12-30,250,30.884049363477352,False
^BFX,BEL 20,Europe,Belgium,Equity,1994,1994-01-03,1994-12-29,248,-6.22216697287219,False
^BFX,BEL 20,Europe,Belgium,Equity,1995,1995-01-03,1995-12-29,249,12.818283278530917,False
^BFX,BEL 20,Europe,Belgium,Equity,1996,1996-01-02,1996-12-30,250,20.280472786004843,False
^BFX,BEL 20,Europe,Belgium,Equity,1997,1997-01-02,1997-12-30,249,29.25017016188165,False
^BFX,BEL 20,Europe,Belgium,Equity,1998,1998-01-02,1998-12-30,251,41.440354986435594,False
^BFX,BEL 20,Europe,Belgium,Equity,1999,1999-01-04,1999-12-30,252,-8.379458100667147,False
^BFX,BEL 20,Europe,Belgium,Equity,2000,2000-01-03,2000-12-28,251,-8.654658019898298,False
^BFX,BEL 20,Europe,Belgium,Equity,2001,2001-01-02,2001-12-28,253,-8.197210898603036,False
^BFX,BEL 20,Europe,Belgium,Equity,2002,2002-01-02,2002-12-31,255,-25.78329138832447,False
^BFX,BEL 20,Europe,Belgium,Equity,2003,2003-01-02,2003-12-31,255,8.19809886840095,False
^BFX,BEL 20,Europe,Belgium,Equity,2004,2004-01-02,2004-12-31,259,29.14992084575696,False
^BFX,BEL 20,Europe,Belgium,Equity,2005,2005-01-03,2005-12-30,257,19.529119796844373,False
^BFX,BEL 20,Europe,Belgium,Equity,2006,2006-01-02,2006-12-29,255,22.79488737016151,False
^BFX,BEL 20,Europe,Belgium,Equity,2007,2007-01-02,2007-12-31,255,-7.334490228148716,False
^BFX,BEL 20,Europe,Belgium,Equity,2008,2008-01-02,2008-12-31,256,-53.611408720245656,False
^BFX,BEL 20,Europe,Belgium,Equity,2009,2009-01-02,2009-12-31,256,26.800188432873995,False
^BFX,BEL 20,Europe,Belgium,Equity,2010,2010-01-04,2010-12-30,257,1.041351945496971,False
^BFX,BEL 20,Europe,Belgium,Equity,2011,2011-01-03,2011-12-30,257,-20.837898493109986,False
^BFX,BEL 20,Europe,Belgium,Equity,2012,2012-01-03,2012-12-28,253,14.899954605732413,False
^BFX,BEL 20,Europe,Belgium,Equity,2013,2013-01-02,2013-12-31,255,16.242790859657408,False
^BFX,BEL 20,Europe,Belgium,Equity,2014,2014-01-02,2014-12-31,255,14.053709158496508,False
^BFX,BEL 20,Europe,Belgium,Equity,2015,2015-01-02,2015-12-30,255,13.78621765840431,False
^BFX,BEL 20,Europe,Belgium,Equity,2016,2016-01-04,2016-12-30,257,-1.0000557608310756,False
^BFX,BEL 20,Europe,Belgium,Equity,2017,2017-01-03,2017-12-29,254,8.772913405633664,False
^BFX,BEL 20,Europe,Belgium,Equity,2018,2018-01-02,2018-12-31,255,-18.492137037960678,False
^BFX,BEL 20,Europe,Belgium,Equity,2019,2019-01-02,2019-12-31,255,22.732186934672917,False
^BFX,BEL 20,Europe,Belgium,Equity,2020,2020-01-02,2020-12-31,256,-9.827111255960686,False
^BFX,BEL 20,Europe,Belgium,Equity,2021,2021-01-04,2021-12-31,258,17.627391050553463,False
^BFX,BEL 20,Europe,Belgium,Equity,2022,2022-01-03,2022-12-30,257,-14.626734483260018,False
^BFX,BEL 20,Europe,Belgium,Equity,2023,2023-01-02,2023-12-29,255,-1.210958897337433,False
^BFX,BEL 20,Europe,Belgium,Equity,2024,2024-01-02,2024-06-24,122,6.781474696794043,True
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,1997,1997-07-01,1997-12-31,124,-14.924454718754577,True
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,1998,1998-01-01,1998-12-31,243,-17.301107686403185,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,1999,1999-01-04,1999-12-30,245,60.33810462347304,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2000,2000-01-03,2000-12-29,250,-26.101601302662324,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2001,2001-01-02,2001-12-31,247,-18.824892177619645,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2002,2002-01-02,2002-12-31,250,3.3072752662544724,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2003,2003-01-02,2003-12-31,250,73.51725851150444,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2004,2004-01-02,2004-12-31,251,9.55930489037189,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2005,2005-01-03,2005-12-30,248,40.704416886553574,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2006,2006-01-02,2006-12-29,247,46.823270711890984,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2007,2007-01-02,2007-12-31,248,45.50739259503529,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2008,2008-01-02,2008-12-31,244,-52.860162313611234,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2009,2009-01-02,2009-12-31,241,75.38085146172726,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2010,2010-01-04,2010-12-31,250,16.8028057623578,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2011,2011-01-03,2011-12-30,246,-24.833997608874025,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2012,2012-01-03,2012-12-31,244,21.878861566710505,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2013,2013-01-02,2013-12-31,247,7.387753399623587,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2014,2014-01-01,2014-12-31,240,30.07944621942167,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2015,2015-01-02,2015-12-31,245,-6.348134148959228,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2016,2016-01-04,2016-12-30,245,3.914832929407419,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2017,2017-01-02,2017-12-29,248,28.05509636208614,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2018,2018-01-01,2018-12-31,246,6.67079171318512,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2019,2019-01-02,2019-12-31,241,14.940071693903146,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2020,2020-01-02,2020-12-31,249,14.713384044547784,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2021,2021-01-01,2021-12-31,247,21.69429919346093,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2022,2022-01-03,2022-12-30,248,2.8006579673397702,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2023,2023-01-02,2023-12-29,245,18.101796582326003,False
^BSESN,BSE Sensex,Asia-Pacific,India,Equity,2024,2024-01-02,2024-06-24,115,7.578820236861983,True
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2010,2010-09-17,2010-12-30,74,8.019705426205181,True
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2011,2011-01-03,2011-12-30,257,-5.827672591233412,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2012,2012-01-02,2012-12-28,248,6.128202348626721,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2013,2013-01-02,2013-12-30,253,12.02330095193509,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2014,2014-01-02,2014-12-30,253,-2.430149988115826,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2015,2015-01-02,2015-12-30,254,-4.460191034174965,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2016,2016-01-04,2016-12-30,255,17.287967340781574,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2017,2017-01-02,2017-12-29,255,8.7510750672108,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2018,2018-01-02,2018-12-28,252,-11.966032081768452,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2019,2019-01-02,2019-12-30,251,12.705295317915844,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2020,2020-01-02,2020-12-30,253,-14.161898616857505,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2021,2021-01-04,2021-12-30,247,12.175727128823777,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2022,2022-01-03,2022-12-30,257,2.041589956317602,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2023,2023-01-02,2023-12-29,255,3.3791923382668676,False
^BUK100P,Cboe UK 100,Europe,United Kingdom,Equity,2024,2024-01-02,2024-06-24,121,7.188014603559112,True
^BVSP,Bovespa,Latin America,Brazil,Equity,1993,1993-04-27,1993-12-30,172,1432.6530612244899,True
^BVSP,Bovespa,Latin America,Brazil,Equity,1994,1994-01-03,1994-12-29,245,1045.4616765141586,False
^BVSP,Bovespa,Latin America,Brazil,Equity,1995,1995-01-02,1995-12-28,246,-0.04650081376423865,False
^BVSP,Bovespa,Latin America,Brazil,Equity,1996,1996-01-02,1996-12-30,248,60.35852818258412,False
^BVSP,Bovespa,Latin America,Brazil,Equity,1997,1997-01-02,1997-12-30,249,46.603407375458275,False
^BVSP,Bovespa,Latin America,Brazil,Equity,1998,1998-01-02,1998-12-30,247,-35.26717557251908,False
^BVSP,Bovespa,Latin America,Brazil,Equity,1999,1999-01-04,1999-12-30,246,146.21146643618553,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2000,2000-01-03,2000-12-28,248,-9.87005316007088,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2001,2001-01-02,2001-12-28,245,-11.974068071312804,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2002,2002-01-02,2002-12-30,249,-18.77162629757786,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2003,2003-01-02,2003-12-30,250,91.64009307937602,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2004,2004-01-02,2004-12-30,249,16.71196257518379,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2005,2005-01-03,2005-12-29,249,30.06764637275483,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2006,2006-01-02,2006-12-28,246,32.73047422926552,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2007,2007-01-02,2007-12-28,245,40.7707731970121,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2008,2008-01-02,2008-12-30,249,-40.22128472498607,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2009,2009-01-02,2009-12-30,246,70.43037471424311,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2010,2010-01-04,2010-12-30,247,-1.0564637019059187,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2011,2011-01-03,2011-12-29,249,-18.87881993081959,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2012,2012-01-03,2012-12-28,244,2.8465367417531473,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2013,2013-01-02,2013-12-30,248,-17.654676258992808,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2014,2014-01-02,2014-12-30,248,-0.6634750998192329,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2015,2015-01-02,2015-12-30,246,-10.64066622691293,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2016,2016-01-04,2016-12-29,249,42.917823497306664,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2017,2017-01-02,2017-12-29,247,28.214938998808513,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2018,2018-01-02,2018-12-28,245,12.833318355137301,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2019,2019-01-02,2019-12-30,248,27.416164901331697,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2020,2020-01-02,2020-12-30,248,0.6181845782766704,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2021,2021-01-04,2021-12-30,247,-11.585890450243763,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2022,2022-01-03,2022-12-29,250,5.878447297011213,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2023,2023-01-02,2023-12-28,248,26.14217492667519,False
^BVSP,Bovespa,Latin America,Brazil,Equity,2024,2024-01-02,2024-06-24,120,-7.581181187215991,True
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1992,1992-01-02,1992-12-31,254,4.057187272734275,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1993,1993-01-04,1993-12-31,253,13.444039141883902,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1994,1994-01-03,1994-12-30,252,2.0720822479497913,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1995,1995-01-03,1995-12-29,252,33.31110604262171,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1996,1996-01-02,1996-12-31,254,24.545283417101913,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1997,1997-01-02,1997-12-31,253,22.752220290399894,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1998,1998-01-02,1998-12-31,252,15.27218691148775,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,1999,1999-01-04,1999-12-31,252,25.182738573469486,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2000,2000-01-03,2000-12-29,252,-5.014475382391714,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2001,2001-01-02,2001-12-31,248,-5.8667222912331285,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2002,2002-01-02,2002-12-31,252,-17.191518659619696,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2003,2003-01-02,2003-12-31,252,21.4510159857501,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2004,2004-01-02,2004-12-31,252,3.5846834512761383,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2005,2005-01-03,2005-12-30,252,-0.11118659469755432,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2006,2006-01-03,2006-12-29,251,14.895170470197927,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2007,2007-01-03,2007-12-31,251,6.335320404687428,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2008,2008-01-02,2008-12-31,253,-32.71683081886185,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2009,2009-01-02,2009-12-31,252,15.422325599795839,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2010,2010-01-04,2010-12-31,252,9.387316357529896,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2011,2011-01-03,2011-12-30,252,4.685299319345382,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2012,2012-01-03,2012-12-31,250,5.700880123911012,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2013,2013-01-02,2013-12-31,252,23.59066991465477,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2014,2014-01-02,2014-12-31,252,8.403937243309588,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2015,2015-01-02,2015-12-31,252,-2.2876754382650355,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2016,2016-01-04,2016-12-30,252,15.240943402909512,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2017,2017-01-03,2017-12-29,251,24.331150735780604,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2018,2018-01-02,2018-12-31,251,-6.028634544759736,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2019,2019-01-02,2019-12-31,252,22.239980256456903,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2020,2020-01-02,2020-12-31,253,6.019230589684232,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2021,2021-01-04,2021-12-31,252,20.230387384979487,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2022,2022-01-03,2022-12-30,251,-9.396755740982465,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2023,2023-01-03,2023-12-29,250,13.740695853109862,False
^DJI,Dow Jones Industrial Average,North America,United States,Equity,2024,2024-01-02,2024-06-24,120,4.497335591219098,True
^FCHI,CAC 40,Europe,France,Equity,1990,1990-03-01,1990-12-28,207,-17.63100436681223,False
^FCHI,CAC 40,Europe,France,Equity,1991,1991-01-02,1991-12-31,249,17.322255891818926,False
^FCHI,CAC 40,Europe,France,Equity,1992,1992-01-02,1992-12-31,250,6.166067941520925,False
^FCHI,CAC 40,Europe,France,Equity,1993,1993-01-04,1993-12-31,251,23.064401346475783,False
^FCHI,CAC 40,Europe,France,Equity,1994,1994-01-03,1994-12-30,249,-17.87305199642987,False
^FCHI,CAC 40,Europe,France,Equity,1995,1995-01-03,1995-12-29,248,-0.7370499090152527,False
^FCHI,CAC 40,Europe,France,Equity,1996,1996-01-02,1996-12-31,250,21.34248174110489,False
^FCHI,CAC 40,Europe,France,Equity,1997,1997-01-02,1997-12-31,250,32.87106346228401,False
^FCHI,CAC 40,Europe,France,Equity,1998,1998-01-02,1998-12-30,248,29.748246798401002,False
^FCHI,CAC 40,Europe,France,Equity,1999,1999-01-04,1999-12-30,254,43.66051414632308,False
^FCHI,CAC 40,Europe,France,Equity,2000,2000-01-03,2000-12-29,253,0.1529362623645003,False
^FCHI,CAC 40,Europe,France,Equity,2001,2001-01-02,2001-12-28,253,-20.250734518526926,False
^FCHI,CAC 40,Europe,France,Equity,2002,2002-01-02,2002-12-31,255,-33.108829036000465,False
^FCHI,CAC 40,Europe,France,Equity,2003,2003-01-02,2003-12-31,255,11.357671645066535,False
